PID	Status	Label
-	0	0x7ffb20c39e20.mach_init.Inspector
236	-	0x7ffb20c398c0.anonymous.launchd
86727	-	0x7ffb20c39370.anonymous.GoogleTalkPlugi
89592	-	0x7ffb20c3a890.anonymous.launchctl
89069	-	com.apple.PTPCamera.52656.17797698-9B14-4179-AEE9-401CA5AA1D2B
86727	-	com.google.GoogleTalkPluginD.56880.0057DA43-0D83-40F9-898F-B991BAC0AC9B
86724	-	0x7ffb20d060c0.anonymous.WebKitPluginHos
86716	-	com.mailplaneapp.Mailplane3.37872
86645	-	0x7ffb20f0f3e0.anonymous.Python
86638	-	0x7ffb20c38e20.anonymous.MacVim
86622	-	0x7ffb20d0a180.anonymous.Vim
86425	-	com.apple.iTunesHelper.53888
82328	-	com.skype.skype.69200
80478	-	0x7ffb20d09bd0.anonymous.bash
80477	-	0x7ffb20d088e0.anonymous.login
80475	-	com.apple.Terminal.6016
76191	-	homebrew.mxcl.percona-server
29691	-	0x7ffb20d07f20.anonymous.DashboardClient
19583	-	0x7ffb20d0a6c0.anonymous.com.apple.found
19577	-	0x7ffb20d081d0.anonymous.com.apple.hiser
668	-	[0x0-0x33033].com.apple.AppleSpell
518	-	0x7ffb20f0f130.anonymous.inet_gethost
519	-	0x7ffb20f0ee80.anonymous.inet_gethost
502	-	com.apple.ImageCaptureExtension2.27312
493	-	0x7ffb20d02ec0.anonymous.com.apple.qtkit
466	-	com.hegenberg.BetterSnapTool.79232
-	0	com.apple.iChat.1088
-	0	com.adiumX.adiumX.38928
463	-	com.naotaka.ClipMenu.39632
462	-	com.getdropbox.dropbox.37696
443	-	com.screenhero.screenhero.77472
389	-	0x7ffb20e03670.anonymous.com.apple.dock.
368	-	[0x0-0x14014].com.apple.iChat
367	-	[0x0-0x13013].com.adiumX.adiumX
417	-	2BUA8C4S2C.com.agilebits.onepassword-osx-helper
115	-	0x7ffb20f0a690.anonymous.WindowServer
2598	-	org.openbsd.ssh-agent
-	0	com.apple.ZoomWindow
418	-	com.apple.wifi.WiFiKeychainProxy
86723	-	com.apple.WebKit.PluginAgent
-	0	com.apple.warmd_agent
-	0	com.apple.VoiceOver
-	0	com.apple.UserNotificationCenterAgent
264	-	com.apple.usernoted
239	-	com.apple.UserEventAgent-Aqua
9361	-	com.apple.USBAgent
-	0	com.apple.unmountassistant.useragent
-	0	com.apple.universalaccessd
-	0	com.apple.universalaccesscontrol
82339	-	com.apple.universalaccessAuthWarn
363	-	com.apple.ubd
